uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
838955,12.0,181.75,5.0,209.4,2.0,210.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,1,13,1,0,0,0.7772630078403421
1264383,3.0,87.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,1,30,1,0,0,0.37357954545454547
1901839,521.0,163.7312859884837,422.0,151.72748815165878,309.0,147.40776699029126,167.0,129.688622754491,56.0,128.35714285714286,3.0,222.33333333333331,30.0,26.0,12.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,16.0,0,1,1,0,0,0.8469533525027014
2163514,74.0,159.5,74.0,159.5,74.0,159.5,20.0,127.3,19.0,124.10526315789473,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,0,2,1,0,0,0.6410145006245588
2280694,12.0,140.33333333333334,9.0,130.88888888888889,7.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,8.0,5.0,5.0,5.0,90.0,11.0,1,8,1,0,0,0.49471210340775557
2285308,23.0,93.95652173913044,21.0,96.90476190476191,20.0,95.6,19.0,99.0,11.0,107.8181818181818,11.0,107.8181818181818,5.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0,1,1,0,0,0.36851978171896316
2380836,40.0,241.75,18.0,259.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,1,17,1,0,0,0.926422686338379
2468662,182.0,227.46153846153842,114.0,237.12280701754383,51.0,256.01960784313724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,1,11,1,0,0,0.9522911299227088
3068886,273.0,149.19413919413918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,90.0,1,22,1,0,0,0.5527846289698853
3414451,337.0,244.9554896142433,336.0,244.922619047619,336.0,244.922619047619,128.0,249.0390625,1.0,136.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0,0,3,1,0,0,0.9734899408004907
