uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
1901839.0,5,,,,
2280694.0,14,8.0,5.0,5.0,5.0
3752046.0,3,3.0,3.0,2.0,1.0
7651934.0,149,149.0,149.0,59.0,
7910960.0,7,7.0,6.0,4.0,3.0
8853855.0,4,2.0,2.0,2.0,2.0
14780539.0,27,27.0,27.0,27.0,27.0
14916895.0,3,3.0,2.0,1.0,1.0
17431044.0,1,,,,
18105916.0,4,4.0,4.0,4.0,4.0
18671898.0,1,1.0,,,
19391716.0,1,1.0,1.0,1.0,
20481284.0,448,448.0,448.0,440.0,367.0
22243200.0,2,2.0,,,
24065466.0,41,41.0,37.0,22.0,2.0
25669104.0,2,2.0,,,
25681272.0,5,5.0,4.0,4.0,4.0
25772056.0,3,3.0,3.0,3.0,3.0
26780292.0,2,2.0,2.0,2.0,2.0
28760308.0,175,104.0,103.0,103.0,103.0
30383288.0,10,,,,
35550892.0,4,3.0,3.0,2.0,2.0
37796072.0,6,,,,
37997936.0,2,2.0,1.0,1.0,1.0
38951696.0,6,6.0,6.0,6.0,6.0
39560840.0,753,60.0,60.0,36.0,36.0
41163612.0,2,2.0,,,
43708832.0,12,10.0,8.0,8.0,8.0
45410760.0,11,11.0,3.0,2.0,1.0
45497188.0,1,,,,
45821436.0,9,9.0,,,
46714360.0,8,,,,
46961956.0,1,1.0,1.0,1.0,1.0
48354308.0,18,14.0,13.0,12.0,12.0
49423096.0,101,101.0,98.0,98.0,98.0
49927924.0,1,,,,
50358720.0,4,3.0,,,
52873996.0,1,1.0,1.0,1.0,1.0
54473760.0,2,2.0,2.0,2.0,2.0
57545228.0,2,2.0,2.0,2.0,2.0
58868416.0,2146,2146.0,2146.0,2146.0,2146.0
59554520.0,73,56.0,54.0,23.0,23.0
61282316.0,40,25.0,13.0,3.0,3.0
61352192.0,1,,,,
61739432.0,5,5.0,5.0,,
62781144.0,2,2.0,,,
63495848.0,1,,,,
65206748.0,20,,,,
65616528.0,267,,,,
66453500.0,32,28.0,25.0,20.0,20.0
68693864.0,19,19.0,19.0,19.0,19.0
69970528.0,2,2.0,,,
73131504.0,121,121.0,121.0,,
74937016.0,6,6.0,5.0,5.0,5.0
78708512.0,4,2.0,2.0,2.0,2.0
78964008.0,58,58.0,58.0,58.0,58.0
79899176.0,59,58.0,35.0,27.0,25.0
82677432.0,31,8.0,5.0,4.0,4.0
82762840.0,1,,,,
85918056.0,15,9.0,,,
87726776.0,1,1.0,1.0,1.0,1.0
88444560.0,5,3.0,3.0,2.0,
89033088.0,8,1.0,1.0,,
89278528.0,2,2.0,2.0,2.0,2.0
92940152.0,36,20.0,19.0,18.0,16.0
94545608.0,7,,,,
94779408.0,2,,,,
94884608.0,37,24.0,24.0,18.0,18.0
94891472.0,22,,,,
95210608.0,1,1.0,,,
95883824.0,4,,,,
96201720.0,5,3.0,2.0,1.0,1.0
96635472.0,11,11.0,8.0,8.0,8.0
96847616.0,5,3.0,,,
100087240.0,2,2.0,2.0,2.0,2.0
100474448.0,138,138.0,138.0,138.0,138.0
102680816.0,1,1.0,1.0,1.0,
105311752.0,1,1.0,1.0,1.0,
105498152.0,1,,,,
106544344.0,26,22.0,19.0,13.0,11.0
108787848.0,20,17.0,2.0,2.0,2.0
110187592.0,17,11.0,11.0,1.0,
110350416.0,10,10.0,8.0,8.0,7.0
110699208.0,1,,,,
112288352.0,3,3.0,,,
113838000.0,5,5.0,3.0,,
114644048.0,1,1.0,1.0,,
118931808.0,61,61.0,61.0,61.0,61.0
119930240.0,18,1.0,,,
121526472.0,7,2.0,2.0,2.0,2.0
123188760.0,2,2.0,,,
124941800.0,12,10.0,9.0,7.0,7.0
124993808.0,17,17.0,9.0,9.0,9.0
125227376.0,17,17.0,17.0,7.0,
125349888.0,20,14.0,4.0,3.0,3.0
127509312.0,2,,,,
128276808.0,16,13.0,13.0,13.0,13.0
128430928.0,4,,,,
128475592.0,30,30.0,30.0,30.0,30.0
133268128.0,30,30.0,30.0,30.0,30.0
135411184.0,3,3.0,3.0,3.0,3.0
135947952.0,7,3.0,2.0,1.0,1.0
136378240.0,8,8.0,,,
137035792.0,13,6.0,6.0,6.0,6.0
137084144.0,8,8.0,8.0,6.0,6.0
138113120.0,6,3.0,2.0,2.0,2.0
138236752.0,27,21.0,21.0,18.0,18.0
141344848.0,11,11.0,3.0,3.0,1.0
146633824.0,1,,,,
146682496.0,5,5.0,4.0,4.0,4.0
