uid,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
838955.0,1,,,,,
1901839.0,5,5.0,,,,
2280694.0,14,14.0,8.0,5.0,5.0,5.0
3752046.0,3,3.0,3.0,3.0,2.0,1.0
4067179.0,1,,,,,
5968834.0,1,,,,,
7651934.0,288,149.0,149.0,149.0,59.0,
7910960.0,7,7.0,7.0,6.0,4.0,3.0
8853855.0,4,4.0,2.0,2.0,2.0,2.0
10833745.0,3,,,,,
10843908.0,1,,,,,
11771279.0,13,,,,,
14780539.0,27,27.0,27.0,27.0,27.0,27.0
14916895.0,3,3.0,3.0,2.0,1.0,1.0
17431044.0,2,1.0,,,,
18105916.0,4,4.0,4.0,4.0,4.0,4.0
18671898.0,5,1.0,1.0,,,
19391716.0,1,1.0,1.0,1.0,1.0,
20481284.0,448,448.0,448.0,448.0,440.0,367.0
21776440.0,15,,,,,
22243200.0,2,2.0,2.0,,,
24065466.0,44,41.0,41.0,37.0,22.0,2.0
25669104.0,6,2.0,2.0,,,
25681272.0,5,5.0,5.0,4.0,4.0,4.0
25772056.0,3,3.0,3.0,3.0,3.0,3.0
26780292.0,3,2.0,2.0,2.0,2.0,2.0
28760308.0,175,175.0,104.0,103.0,103.0,103.0
30383288.0,23,10.0,,,,
30969596.0,4,,,,,
35550892.0,4,4.0,3.0,3.0,2.0,2.0
37796072.0,6,6.0,,,,
37997936.0,2,2.0,2.0,1.0,1.0,1.0
38951696.0,8,6.0,6.0,6.0,6.0,6.0
39560840.0,812,753.0,60.0,60.0,36.0,36.0
41163612.0,2,2.0,2.0,,,
43399988.0,24,,,,,
43708832.0,24,12.0,10.0,8.0,8.0,8.0
45410760.0,24,11.0,11.0,3.0,2.0,1.0
45497188.0,3,1.0,,,,
45821436.0,9,9.0,9.0,,,
46569664.0,1,,,,,
46714360.0,17,8.0,,,,
46961956.0,2,1.0,1.0,1.0,1.0,1.0
48354308.0,91,18.0,14.0,13.0,12.0,12.0
49423096.0,141,101.0,101.0,98.0,98.0,98.0
49851004.0,21,,,,,
49927924.0,2,1.0,,,,
50358720.0,4,4.0,3.0,,,
52873996.0,2,1.0,1.0,1.0,1.0,1.0
54473760.0,2,2.0,2.0,2.0,2.0,2.0
57545228.0,2,2.0,2.0,2.0,2.0,2.0
58868416.0,2149,2146.0,2146.0,2146.0,2146.0,2146.0
59554520.0,74,73.0,56.0,54.0,23.0,23.0
61282316.0,45,40.0,25.0,13.0,3.0,3.0
61352192.0,5,1.0,,,,
61739432.0,5,5.0,5.0,5.0,,
62781144.0,2,2.0,2.0,,,
63495848.0,3,1.0,,,,
64365136.0,1,,,,,
65206748.0,20,20.0,,,,
65616528.0,267,267.0,,,,
66453500.0,36,32.0,28.0,25.0,20.0,20.0
68693864.0,19,19.0,19.0,19.0,19.0,19.0
69970528.0,17,2.0,2.0,,,
73131504.0,121,121.0,121.0,121.0,,
74937016.0,7,6.0,6.0,5.0,5.0,5.0
78708512.0,5,4.0,2.0,2.0,2.0,2.0
78964008.0,93,58.0,58.0,58.0,58.0,58.0
79899176.0,72,59.0,58.0,35.0,27.0,25.0
80457040.0,1,,,,,
82319576.0,1,,,,,
82677432.0,41,31.0,8.0,5.0,4.0,4.0
82762840.0,1,1.0,,,,
83631632.0,4,,,,,
84562216.0,1,,,,,
85618528.0,15,,,,,
85918056.0,27,15.0,9.0,,,
86554016.0,7,,,,,
87726776.0,1,1.0,1.0,1.0,1.0,1.0
88444560.0,5,5.0,3.0,3.0,2.0,
89033088.0,8,8.0,1.0,1.0,,
89278528.0,2,2.0,2.0,2.0,2.0,2.0
89655496.0,6,,,,,
92940152.0,49,36.0,20.0,19.0,18.0,16.0
94545608.0,7,7.0,,,,
94779408.0,8,2.0,,,,
94884608.0,37,37.0,24.0,24.0,18.0,18.0
94891472.0,149,22.0,,,,
95210608.0,1,1.0,1.0,,,
95883824.0,17,4.0,,,,
95896504.0,1,,,,,
96201720.0,8,5.0,3.0,2.0,1.0,1.0
96502784.0,4,,,,,
96635472.0,25,11.0,11.0,8.0,8.0,8.0
96847616.0,22,5.0,3.0,,,
100087240.0,2,2.0,2.0,2.0,2.0,2.0
100474448.0,352,138.0,138.0,138.0,138.0,138.0
102680816.0,2,1.0,1.0,1.0,1.0,
105311752.0,1,1.0,1.0,1.0,1.0,
105498152.0,1,1.0,,,,
106544344.0,33,26.0,22.0,19.0,13.0,11.0
108131776.0,11,,,,,
108787848.0,30,20.0,17.0,2.0,2.0,2.0
110187592.0,35,17.0,11.0,11.0,1.0,
110350416.0,10,10.0,10.0,8.0,8.0,7.0
110699208.0,38,1.0,,,,
112288352.0,3,3.0,3.0,,,
113432400.0,6,,,,,
113838000.0,26,5.0,5.0,3.0,,
114644048.0,1,1.0,1.0,1.0,,
116086136.0,2,,,,,
118337752.0,2,,,,,
118931808.0,341,61.0,61.0,61.0,61.0,61.0
119930240.0,22,18.0,1.0,,,
121526472.0,10,7.0,2.0,2.0,2.0,2.0
123188760.0,2,2.0,2.0,,,
124941800.0,16,12.0,10.0,9.0,7.0,7.0
124993808.0,17,17.0,17.0,9.0,9.0,9.0
125227376.0,17,17.0,17.0,17.0,7.0,
125349888.0,25,20.0,14.0,4.0,3.0,3.0
125471824.0,1,,,,,
125494048.0,3,,,,,
126186152.0,4,,,,,
126727952.0,3,,,,,
127509312.0,2,2.0,,,,
128276808.0,17,16.0,13.0,13.0,13.0,13.0
128430928.0,7,4.0,,,,
128475592.0,30,30.0,30.0,30.0,30.0,30.0
133089264.0,2,,,,,
133268128.0,32,30.0,30.0,30.0,30.0,30.0
133771080.0,8,,,,,
134252448.0,1,,,,,
135411184.0,6,3.0,3.0,3.0,3.0,3.0
135947952.0,12,7.0,3.0,2.0,1.0,1.0
136378240.0,8,8.0,8.0,,,
137035792.0,18,13.0,6.0,6.0,6.0,6.0
137084144.0,8,8.0,8.0,8.0,6.0,6.0
137138400.0,6,,,,,
138113120.0,6,6.0,3.0,2.0,2.0,2.0
138236752.0,28,27.0,21.0,21.0,18.0,18.0
138544224.0,26,,,,,
138553072.0,1,,,,,
139078496.0,2,,,,,
140533488.0,1,,,,,
141344848.0,18,11.0,11.0,3.0,3.0,1.0
141683888.0,2,,,,,
142900800.0,1,,,,,
144134400.0,3,,,,,
146346816.0,1,,,,,
146633824.0,1,1.0,,,,
146682496.0,5,5.0,5.0,4.0,4.0,4.0
146684128.0,2,,,,,
146926768.0,6,,,,,
147365504.0,22,11.0,9.0,4.0,4.0,4.0
147522672.0,30,30.0,30.0,30.0,30.0,30.0
147703248.0,7,4.0,2.0,2.0,2.0,2.0
148416832.0,106,32.0,32.0,30.0,30.0,28.0
148592320.0,1,1.0,,,,
148663792.0,30,,,,,
149109312.0,3,3.0,3.0,3.0,2.0,
151592416.0,41,,,,,
151637920.0,1,1.0,1.0,1.0,1.0,1.0
151840368.0,4,4.0,1.0,1.0,1.0,
152625024.0,1,,,,,
153182064.0,21,,,,,
153372832.0,4,,,,,
153396560.0,3,,,,,
153662736.0,152,89.0,85.0,33.0,21.0,12.0
154075952.0,1,,,,,
154623968.0,4,,,,,
154669600.0,44,22.0,22.0,11.0,7.0,7.0
154827072.0,1,1.0,1.0,1.0,,
155243872.0,28,28.0,,,,
155595648.0,33,33.0,33.0,,,
155769904.0,1,1.0,,,,
156486528.0,1,,,,,
156850336.0,11,7.0,7.0,,,
156894672.0,3,2.0,1.0,1.0,1.0,1.0
157035760.0,3,3.0,3.0,3.0,3.0,1.0
157594208.0,1,,,,,
157622544.0,7,,,,,
157823024.0,1,,,,,
157908208.0,1,,,,,
157941888.0,2,,,,,
157997136.0,3,3.0,3.0,3.0,,
158709632.0,25,25.0,13.0,13.0,,
158803136.0,13,,,,,
159029760.0,1,1.0,,,,
159215824.0,101,93.0,76.0,73.0,73.0,69.0
159270656.0,8,1.0,1.0,1.0,1.0,1.0
159405616.0,3,3.0,2.0,,,
159462416.0,5,,,,,
159541760.0,6,6.0,6.0,6.0,6.0,6.0
159547808.0,5,5.0,5.0,5.0,5.0,5.0
159739008.0,13,,,,,
159787168.0,116,111.0,111.0,111.0,1.0,1.0
160131104.0,6,6.0,6.0,6.0,6.0,6.0
160320128.0,37,,,,,
160390416.0,24,24.0,24.0,,,
160440720.0,68,20.0,20.0,12.0,12.0,10.0
160463792.0,3,,,,,
160907184.0,2,,,,,
161003088.0,1,,,,,
161016912.0,10,10.0,10.0,10.0,8.0,8.0
161024096.0,4,,,,,
161199952.0,25,,,,,
161293344.0,2,,,,,
161936288.0,20,20.0,11.0,11.0,11.0,11.0
162303280.0,4,3.0,,,,
162360192.0,9,,,,,
162508544.0,13,,,,,
162580144.0,14,,,,,
162766192.0,1,,,,,
162867168.0,1,1.0,,,,
163048960.0,24,10.0,10.0,10.0,10.0,10.0
163104688.0,39,27.0,26.0,20.0,19.0,10.0
163113856.0,2,2.0,2.0,,,
163253776.0,16,,,,,
163336192.0,3,3.0,,,,
163552928.0,3,3.0,3.0,3.0,1.0,
163682512.0,9,,,,,
163814528.0,30,30.0,30.0,30.0,30.0,30.0
163875936.0,6,,,,,
163963552.0,2,2.0,1.0,1.0,,
164256480.0,3,3.0,3.0,,,
164269856.0,5,5.0,5.0,2.0,1.0,1.0
164304880.0,1,1.0,,,,
164388416.0,13,1.0,,,,
164393680.0,6,,,,,
164395792.0,57,,,,,
164483952.0,1,1.0,,,,
164563056.0,17,,,,,
164564672.0,95,94.0,93.0,93.0,93.0,93.0
164581968.0,3,2.0,1.0,1.0,1.0,1.0
164784160.0,2,,,,,
164855664.0,4,2.0,2.0,1.0,1.0,1.0
164918672.0,2,,,,,
165018016.0,14,2.0,2.0,1.0,1.0,1.0
165025856.0,14,12.0,8.0,1.0,1.0,1.0
165124144.0,3,3.0,3.0,3.0,3.0,3.0
165233520.0,37,24.0,22.0,19.0,15.0,14.0
165322784.0,13,3.0,,,,
165324384.0,2,,,,,
165324576.0,7,,,,,
165463776.0,2,1.0,1.0,1.0,1.0,1.0
165702880.0,28,,,,,
165706320.0,7,7.0,7.0,7.0,7.0,7.0
165757168.0,70,1.0,,,,
165767712.0,3,3.0,3.0,3.0,3.0,1.0
165779296.0,67,31.0,30.0,30.0,,
165847840.0,51,21.0,,,,
165855072.0,147,,,,,
165870544.0,1,1.0,1.0,1.0,1.0,
165953248.0,3,3.0,3.0,,,
165995456.0,2,,,,,
166040848.0,13,,,,,
166063984.0,12,,,,,
166112320.0,4,,,,,
166156608.0,11,,,,,
166203168.0,2,1.0,1.0,1.0,1.0,1.0
166274416.0,15,,,,,
166286112.0,20,,,,,
166341648.0,4,3.0,3.0,,,
166351680.0,1,1.0,1.0,,,
166365088.0,82,60.0,35.0,33.0,31.0,31.0
166378704.0,21,21.0,21.0,21.0,16.0,9.0
166404688.0,5,1.0,,,,
166441664.0,14,,,,,
166471616.0,20,,,,,
166472064.0,31,31.0,2.0,,,
166494464.0,15,2.0,2.0,,,
166517216.0,1,1.0,,,,
166518720.0,1,,,,,
166541072.0,1,1.0,1.0,1.0,1.0,1.0
166549680.0,1,,,,,
166559120.0,6,,,,,
166601152.0,53,48.0,44.0,44.0,43.0,43.0
166630432.0,34,,,,,
166638752.0,21,,,,,
166654368.0,5,4.0,,,,
166749696.0,8,2.0,2.0,2.0,,
166756496.0,7,6.0,6.0,6.0,6.0,5.0
166756688.0,30,,,,,
166758464.0,30,,,,,
166818704.0,1,1.0,1.0,1.0,1.0,1.0
166853904.0,20,20.0,,,,
166858432.0,6,6.0,5.0,3.0,1.0,
166879056.0,3,3.0,,,,
166887120.0,2,,,,,
166934672.0,2,,,,,
166965440.0,19,19.0,12.0,5.0,5.0,5.0
166987104.0,5,,,,,
167022912.0,66,63.0,63.0,,,
167026560.0,23,2.0,2.0,1.0,,
167039904.0,54,1.0,,,,
167044992.0,15,11.0,6.0,6.0,6.0,5.0
167076576.0,1,1.0,1.0,,,
167095600.0,51,,,,,
167111808.0,14,14.0,14.0,,,
167125760.0,4,,,,,
167197712.0,6,6.0,4.0,,,
167214288.0,56,49.0,39.0,39.0,39.0,39.0
167216864.0,1,,,,,
167262976.0,8,2.0,1.0,,,
167274032.0,20,20.0,6.0,,,
167274928.0,8,4.0,4.0,3.0,2.0,2.0
167310576.0,21,8.0,8.0,,,
167382544.0,68,,,,,
167397424.0,4,,,,,
167415584.0,59,3.0,2.0,,,
167432480.0,12,1.0,,,,
167433744.0,25,,,,,
167438160.0,75,42.0,34.0,34.0,,
167450624.0,1,1.0,1.0,,,
167469136.0,3,,,,,
167473552.0,2,,,,,
167494304.0,5,5.0,5.0,4.0,4.0,4.0
167496288.0,1,1.0,1.0,1.0,,
167508672.0,5,,,,,
167510384.0,1,1.0,,,,
167510512.0,1,,,,,
167522416.0,2,2.0,2.0,,,
167529680.0,2,1.0,1.0,1.0,1.0,1.0
167537200.0,2,,,,,
167544512.0,25,,,,,
167545840.0,6,1.0,,,,
167552160.0,1,,,,,
167559248.0,1,,,,,
167570304.0,347,345.0,291.0,290.0,290.0,290.0
167571280.0,38,37.0,37.0,34.0,26.0,26.0
167571680.0,13,13.0,13.0,11.0,8.0,8.0
167572336.0,18,17.0,17.0,,,
167572512.0,52,,,,,
167572624.0,1,1.0,,,,
167573424.0,25,19.0,3.0,1.0,1.0,1.0
167574208.0,133,49.0,28.0,25.0,22.0,2.0
167574816.0,25,21.0,21.0,5.0,4.0,
167574880.0,53,53.0,37.0,12.0,12.0,12.0
167574912.0,2,,,,,
