uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
838955,12.0,181.75,5.0,209.4,2.0,210.5,,,,,,,1,ar
971787,,,,,,,,,,,,,1,ar
1264383,3.0,87.66666666666667,,,,,,,,,,,1,ar
1901839,521.0,163.73128598848368,422.0,151.72748815165878,309.0,147.40776699029126,167.0,129.688622754491,56.0,128.35714285714286,3.0,222.33333333333334,0,ar
2163514,74.0,159.5,74.0,159.5,74.0,159.5,20.0,127.3,19.0,124.10526315789474,,,0,ar
2280694,12.0,140.33333333333334,9.0,130.88888888888889,7.0,95.0,,,,,,,1,ar
2285308,23.0,93.95652173913044,21.0,96.9047619047619,20.0,95.6,19.0,99.0,11.0,107.81818181818181,11.0,107.81818181818181,0,ar
2380836,40.0,241.75,18.0,259.1111111111111,,,,,,,,,1,ar
2468662,182.0,227.46153846153845,114.0,237.12280701754386,51.0,256.01960784313724,,,,,,,1,ar
3068886,273.0,149.19413919413918,,,,,,,,,,,1,ar
3414451,337.0,244.95548961424333,336.0,244.92261904761904,336.0,244.92261904761904,128.0,249.0390625,1.0,136.0,,,0,ar
3752046,93.0,79.70967741935483,30.0,81.06666666666666,18.0,103.11111111111111,6.0,56.0,3.0,83.0,,,0,ar
3798545,,,,,,,,,,,,,1,ar
3907096,,,,,,,,,,,,,1,ar
3946417,,,,,,,,,,,,,1,ar
4067179,66.0,182.71212121212122,,,,,,,,,,,1,ar
4277354,4.0,145.75,,,,,,,,,,,1,ar
4464683,130.0,246.92307692307693,78.0,242.9102564102564,7.0,257.85714285714283,,,,,,,1,ar
4703779,3.0,190.33333333333334,,,,,,,,,,,1,ar
5347567,,,,,,,,,,,,,1,ip
5457233,7.0,179.71428571428572,,,,,,,,,,,1,ar
5597959,41.0,105.97560975609755,41.0,105.97560975609755,27.0,116.88888888888889,6.0,110.83333333333333,6.0,110.83333333333333,6.0,110.83333333333333,0,ar
5725844,,,,,,,,,,,,,1,ar
5767785,22.0,114.0909090909091,19.0,119.78947368421052,15.0,116.66666666666667,7.0,144.57142857142858,,,,,1,ar
5968834,,,,,,,,,,,,,1,ar
6800392,,,,,,,,,,,,,1,ar
7533076,87.0,134.94252873563218,61.0,156.0,49.0,168.42857142857142,20.0,137.5,19.0,135.21052631578948,4.0,198.0,0,ar
7651934,22.0,128.63636363636363,3.0,197.33333333333334,,,,,,,,,1,ar
7910960,337.0,126.16913946587538,337.0,126.16913946587538,321.0,122.04984423676012,264.0,104.26515151515152,64.0,218.84375,14.0,214.14285714285714,0,ar
8298686,24.0,60.25,24.0,60.25,24.0,60.25,24.0,60.25,24.0,60.25,,,0,ar
8304133,193.0,91.20207253886011,143.0,104.7972027972028,45.0,135.04444444444445,,,,,,,0,ar
8414378,1.0,144.0,,,,,,,,,,,1,ar
8712754,165.0,206.9878787878788,165.0,206.9878787878788,146.0,207.18493150684932,103.0,205.10679611650485,,,,,0,ar
8733014,,,,,,,,,,,,,1,ar
8853855,143.0,190.08391608391608,81.0,195.12345679012347,71.0,210.33802816901408,71.0,210.33802816901408,55.0,239.05454545454546,,,0,ar
9799901,203.0,104.02463054187191,,,,,,,,,,,0,ar
9974627,,,,,,,,,,,,,1,ar
10046311,1.0,232.0,,,,,,,,,,,1,ar
10195333,2.0,173.0,,,,,,,,,,,1,ar
10213409,,,,,,,,,,,,,1,ar
10583643,,,,,,,,,,,,,1,ar
10833745,18.0,151.11111111111111,,,,,,,,,,,1,ar
10843908,1154.0,246.25649913344887,720.0,270.7652777777778,425.0,290.48,277.0,290.1624548736462,101.0,296.5742574257426,41.0,272.8048780487805,0,ar
10972120,69.0,133.71014492753622,44.0,141.22727272727272,19.0,227.73684210526315,9.0,245.22222222222223,9.0,245.22222222222223,5.0,227.6,1,ar
11014356,,,,,,,,,,,,,1,ar
11434117,,,,,,,,,,,,,1,ar
11771279,63.0,40.96825396825397,,,,,,,,,,,1,ar
12448601,,,,,,,,,,,,,1,ar
12668024,5.0,219.4,,,,,,,,,,,1,ar
13033063,151.0,275.95364238410593,42.0,274.4047619047619,,,,,,,,,1,ar
13404618,1010.0,242.43564356435644,623.0,241.6067415730337,385.0,245.75064935064935,345.0,244.30144927536233,201.0,243.01492537313433,2.0,242.0,1,ar
14070578,,,,,,,,,,,,,1,ar
14195231,,,,,,,,,,,,,1,ar
14421276,34.0,80.32352941176471,,,,,,,,,,,0,ar
14780539,123.0,175.4471544715447,123.0,175.4471544715447,123.0,175.4471544715447,123.0,175.4471544715447,59.0,231.88135593220338,46.0,234.5,0,ip
14916895,143.0,96.76223776223776,136.0,96.92647058823529,106.0,102.84905660377359,62.0,70.5,13.0,179.15384615384616,9.0,224.0,0,ar
15517510,,,,,,,,,,,,,1,ar
15709616,,,,,,,,,,,,,1,ar
15850740,20.0,253.55,,,,,,,,,,,1,ar
17233676,41.0,142.9268292682927,41.0,142.9268292682927,,,,,,,,,1,ar
17285440,2.0,216.5,,,,,,,,,,,1,ar
17431044,125.0,179.216,12.0,166.58333333333334,,,,,,,,,1,ar
17809416,198.0,114.15151515151516,123.0,103.45528455284553,118.0,102.49152542372882,89.0,95.28089887640449,86.0,89.95348837209302,3.0,82.33333333333333,0,ar
18105916,13.0,167.76923076923077,10.0,187.4,,,,,,,,,0,ar
18123478,,,,,,,,,,,,,1,ar
18319552,,,,,,,,,,,,,1,ar
18420708,,,,,,,,,,,,,1,ar
18671898,27.0,159.14814814814815,23.0,151.8695652173913,23.0,151.8695652173913,10.0,167.7,10.0,167.7,10.0,167.7,1,ar
19391716,44.0,225.47727272727272,16.0,236.8125,16.0,236.8125,16.0,236.8125,2.0,165.5,,,1,ar
19603656,31.0,222.41935483870967,,,,,,,,,,,1,ar
19626788,2.0,279.0,,,,,,,,,,,1,ar
19631964,51.0,88.17647058823529,,,,,,,,,,,1,ar
19740096,,,,,,,,,,,,,1,ar
20202324,1.0,5.0,,,,,,,,,,,1,ar
20481284,152.0,148.27631578947367,136.0,148.61029411764707,131.0,146.89312977099237,127.0,146.51181102362204,24.0,91.08333333333333,1.0,226.0,0,ar
21417422,,,,,,,,,,,,,1,ar
21776440,173.0,159.5028901734104,,,,,,,,,,,1,ar
21916108,14.0,244.71428571428572,7.0,277.57142857142856,,,,,,,,,1,ar
22243200,212.0,155.1556603773585,161.0,150.73291925465838,93.0,143.67741935483872,36.0,124.72222222222223,,,,,0,ar
22275356,86.0,218.72093023255815,86.0,218.72093023255815,26.0,245.6153846153846,26.0,245.6153846153846,,,,,0,ar
22537388,,,,,,,,,,,,,1,ar
24003704,17.0,223.1764705882353,,,,,,,,,,,1,ar
24065466,391.0,333.00255754475705,364.0,325.0741758241758,321.0,306.90965732087227,255.0,247.1764705882353,165.0,148.6969696969697,30.0,380.76666666666665,0,ar
24186124,333.0,101.2042042042042,191.0,107.76439790575917,123.0,102.34959349593495,27.0,108.55555555555556,10.0,63.2,6.0,57.5,0,ar
24792428,7.0,279.14285714285717,,,,,,,,,,,1,ar
25183564,,,,,,,,,,,,,1,ar
25228904,,,,,,,,,,,,,1,ar
25669104,102.0,109.33333333333333,22.0,106.31818181818181,16.0,67.1875,,,,,,,1,ar
25681272,13.0,171.6153846153846,11.0,187.0,7.0,184.0,,,,,,,0,ar
25772056,237.0,125.042194092827,120.0,126.1,37.0,115.0,,,,,,,0,ar
26398100,145.0,205.2896551724138,,,,,,,,,,,1,ar
26780292,1675.0,203.47402985074626,1086.0,197.25138121546962,924.0,202.9047619047619,437.0,200.9061784897025,67.0,195.97014925373134,49.0,203.08163265306123,0,ar
26892464,,,,,,,,,,,,,1,ar
27299438,,,,,,,,,,,,,1,ar
27359264,,,,,,,,,,,,,1,ar
