uid,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
838955.0,6,,,,
1901839.0,26,12.0,6.0,5.0,5.0
2163514.0,1,1.0,1.0,1.0,1.0
2285308.0,5,4.0,3.0,1.0,1.0
3414451.0,4,4.0,1.0,1.0,
3752046.0,14,12.0,8.0,6.0,3.0
5597959.0,41,30.0,18.0,18.0,18.0
5767785.0,6,3.0,1.0,,
7533076.0,18,13.0,9.0,9.0,7.0
7910960.0,32,29.0,12.0,6.0,6.0
8298686.0,4,4.0,4.0,4.0,2.0
8304133.0,1,,,,
8712754.0,1,1.0,1.0,,
9799901.0,3,3.0,3.0,3.0,3.0
10843908.0,40,40.0,39.0,29.0,29.0
14780539.0,31,31.0,31.0,3.0,3.0
14916895.0,41,25.0,12.0,2.0,2.0
17431044.0,1,,,,
18105916.0,98,97.0,97.0,97.0,97.0
18671898.0,8,8.0,,,
20481284.0,98,98.0,98.0,78.0,74.0
22243200.0,5,5.0,,,
25669104.0,9,3.0,,,
25681272.0,8,8.0,6.0,6.0,6.0
26780292.0,55,47.0,32.0,14.0,14.0
28760308.0,260,87.0,67.0,48.0,48.0
30383288.0,47,30.0,29.0,24.0,24.0
32617836.0,1,1.0,1.0,1.0,1.0
36567948.0,3,3.0,,,
37796072.0,9,,,,
37997936.0,6,5.0,3.0,3.0,3.0
38046424.0,5,5.0,3.0,1.0,1.0
38379372.0,9,9.0,5.0,3.0,3.0
38951696.0,10,10.0,10.0,9.0,9.0
39560840.0,239,166.0,152.0,41.0,41.0
41163612.0,3,3.0,,,
43708832.0,32,27.0,22.0,21.0,19.0
45410760.0,11,11.0,3.0,2.0,2.0
45497188.0,4,3.0,3.0,3.0,3.0
45821436.0,12,12.0,,,
46466156.0,22,10.0,4.0,4.0,3.0
46472868.0,13,13.0,13.0,13.0,13.0
46714360.0,19,,,,
46961956.0,1,1.0,1.0,1.0,1.0
47787032.0,6,6.0,5.0,,
48189612.0,1,1.0,,,
48354308.0,63,47.0,46.0,4.0,4.0
49423096.0,55,51.0,27.0,27.0,27.0
49851004.0,8,,,,
49927924.0,1,,,,
50358720.0,32,,,,
51805468.0,87,71.0,38.0,32.0,31.0
52873996.0,48,48.0,34.0,11.0,11.0
53278276.0,39,34.0,26.0,20.0,19.0
54473760.0,34,34.0,25.0,25.0,25.0
57545228.0,4,1.0,1.0,1.0,1.0
58868416.0,132,132.0,132.0,132.0,132.0
59311044.0,4,1.0,,,
59554520.0,99,51.0,40.0,15.0,15.0
61282316.0,42,23.0,16.0,9.0,9.0
61352192.0,5,5.0,,,
61739432.0,21,21.0,21.0,,
62242184.0,13,13.0,13.0,5.0,
63495848.0,10,,,,
66453500.0,12,8.0,4.0,4.0,4.0
68240016.0,16,15.0,3.0,3.0,1.0
69294384.0,2,2.0,,,
69584032.0,7,7.0,7.0,1.0,1.0
69970528.0,5,5.0,1.0,1.0,1.0
72188256.0,2,1.0,,,
73131504.0,21,21.0,21.0,,
73520912.0,2,1.0,1.0,1.0,1.0
73642752.0,7,5.0,,,
74937016.0,15,14.0,13.0,13.0,13.0
76031544.0,3,3.0,3.0,1.0,1.0
77281184.0,4,4.0,,,
78708512.0,20,10.0,9.0,8.0,8.0
80279552.0,26,26.0,16.0,13.0,13.0
80457040.0,6,6.0,2.0,2.0,2.0
80838816.0,1,1.0,1.0,1.0,1.0
82485712.0,36,24.0,17.0,12.0,11.0
82677432.0,61,31.0,8.0,7.0,6.0
82762840.0,1,,,,
84562216.0,70,58.0,51.0,30.0,29.0
85918056.0,52,29.0,,,
86766848.0,4,4.0,,,
87686432.0,70,55.0,46.0,38.0,34.0
87726776.0,5,5.0,5.0,5.0,5.0
88444560.0,6,3.0,3.0,1.0,
88782888.0,3,,,,
89033088.0,39,9.0,8.0,5.0,5.0
89278528.0,32,24.0,24.0,24.0,24.0
92940152.0,80,52.0,51.0,46.0,46.0
94545608.0,1,,,,
94779408.0,6,6.0,,,
94884608.0,171,151.0,149.0,135.0,135.0
94891472.0,3,3.0,1.0,1.0,1.0
95210608.0,12,8.0,6.0,3.0,3.0
95883824.0,6,,,,
96201720.0,1,1.0,1.0,1.0,1.0
96332544.0,3,1.0,,,
96502784.0,1,1.0,1.0,1.0,1.0
96635472.0,39,39.0,19.0,19.0,19.0
96847616.0,8,5.0,,,
97865408.0,25,,,,
99689248.0,5,5.0,3.0,,
102680816.0,6,6.0,6.0,6.0,4.0
104615848.0,3,3.0,3.0,3.0,3.0
105498152.0,1,,,,
106544344.0,71,61.0,58.0,42.0,41.0
108787848.0,100,47.0,11.0,11.0,11.0
109276656.0,8,2.0,,,
110350416.0,60,60.0,51.0,51.0,49.0
110699208.0,1,,,,
112288352.0,15,15.0,9.0,9.0,8.0
112973568.0,1,,,,
113432400.0,1,1.0,1.0,1.0,1.0
114415912.0,34,34.0,,,
114644048.0,21,21.0,17.0,7.0,7.0
114888768.0,8,8.0,8.0,,
116543184.0,1,1.0,,,
118931808.0,16,16.0,16.0,16.0,16.0
119342160.0,15,15.0,15.0,15.0,15.0
119930240.0,56,8.0,,,
121526472.0,58,8.0,8.0,8.0,8.0
121667600.0,3,3.0,2.0,,
123188760.0,3,3.0,,,
124993808.0,13,13.0,,,
125349888.0,87,68.0,30.0,27.0,27.0
125439600.0,2,2.0,2.0,,
125737832.0,1,1.0,1.0,1.0,
128276808.0,66,60.0,60.0,55.0,55.0
128430928.0,38,21.0,3.0,2.0,2.0
130552728.0,1,,,,
133268128.0,1,1.0,1.0,1.0,1.0
133928864.0,16,13.0,13.0,8.0,8.0
134252448.0,11,,,,
135947952.0,79,27.0,21.0,18.0,17.0
137017600.0,26,26.0,26.0,26.0,26.0
137035792.0,46,31.0,31.0,31.0,31.0
137084144.0,41,41.0,41.0,38.0,38.0
138113120.0,7,1.0,1.0,1.0,1.0
138236752.0,31,30.0,27.0,19.0,15.0
139431840.0,7,7.0,6.0,4.0,
139851616.0,35,1.0,,,
141344848.0,27,25.0,7.0,6.0,5.0
145436112.0,1,1.0,,,
145455840.0,2,2.0,,,
146237888.0,1,1.0,1.0,1.0,1.0
146682496.0,24,23.0,21.0,20.0,20.0
147365504.0,54,52.0,31.0,27.0,26.0
147527520.0,11,11.0,6.0,6.0,6.0
148416832.0,32,27.0,8.0,6.0,5.0
148592320.0,53,51.0,45.0,45.0,45.0
148663792.0,2,2.0,,,
149056960.0,1,,,,
149109312.0,8,8.0,4.0,3.0,
151291888.0,9,8.0,7.0,7.0,
151486256.0,3,1.0,1.0,1.0,1.0
151840368.0,10,6.0,4.0,2.0,
152735536.0,1,,,,
153203040.0,33,33.0,,,
153348832.0,5,5.0,5.0,5.0,5.0
154383536.0,1,1.0,1.0,,
154623968.0,1,1.0,,,
154667696.0,3,3.0,3.0,2.0,2.0
154669600.0,72,65.0,42.0,19.0,19.0
155243872.0,101,10.0,,,
155284240.0,6,6.0,6.0,4.0,2.0
155595648.0,7,7.0,7.0,7.0,2.0
155697664.0,21,21.0,21.0,,
155762192.0,2,,,,
156751136.0,20,17.0,,,
156850336.0,7,7.0,5.0,5.0,5.0
156894672.0,4,3.0,2.0,2.0,2.0
157354176.0,14,14.0,14.0,14.0,14.0
157629760.0,2,2.0,,,
157823024.0,13,13.0,9.0,,
157997136.0,49,49.0,37.0,1.0,1.0
158228304.0,3,2.0,,,
159029760.0,4,1.0,,,
159164784.0,41,38.0,38.0,11.0,6.0
159215824.0,90,75.0,71.0,71.0,56.0
159270656.0,5,5.0,4.0,4.0,4.0
159462416.0,11,6.0,2.0,,
159541760.0,9,9.0,9.0,9.0,9.0
159547808.0,63,50.0,42.0,42.0,41.0
160065712.0,11,11.0,11.0,11.0,11.0
160131104.0,84,67.0,46.0,44.0,44.0
160139392.0,27,27.0,27.0,27.0,18.0
160390416.0,11,11.0,,,
160440720.0,42,37.0,34.0,34.0,33.0
161016912.0,25,24.0,24.0,24.0,24.0
161138064.0,8,3.0,3.0,2.0,2.0
161293344.0,7,7.0,,,
161596464.0,18,18.0,,,
161936288.0,18,16.0,16.0,16.0,16.0
162108000.0,4,4.0,4.0,4.0,4.0
