uid,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
838955.0,7,6.0,,,,
1901839.0,30,26.0,12.0,6.0,5.0,5.0
2163514.0,2,1.0,1.0,1.0,1.0,1.0
2285308.0,5,5.0,4.0,3.0,1.0,1.0
2380836.0,4,,,,,
3068886.0,21,,,,,
3414451.0,4,4.0,4.0,1.0,1.0,
3752046.0,26,14.0,12.0,8.0,6.0,3.0
4067179.0,1,,,,,
5597959.0,41,41.0,30.0,18.0,18.0,18.0
5767785.0,6,6.0,3.0,1.0,,
7533076.0,19,18.0,13.0,9.0,9.0,7.0
7651934.0,3,,,,,
7910960.0,35,32.0,29.0,12.0,6.0,6.0
8298686.0,4,4.0,4.0,4.0,4.0,2.0
8304133.0,1,1.0,,,,
8712754.0,1,1.0,1.0,1.0,,
8853855.0,2,,,,,
9799901.0,3,3.0,3.0,3.0,3.0,3.0
10843908.0,46,40.0,40.0,39.0,29.0,29.0
11771279.0,7,,,,,
14780539.0,31,31.0,31.0,31.0,3.0,3.0
14916895.0,41,41.0,25.0,12.0,2.0,2.0
17431044.0,10,1.0,,,,
18105916.0,99,98.0,97.0,97.0,97.0,97.0
18671898.0,8,8.0,8.0,,,
20481284.0,100,98.0,98.0,98.0,78.0,74.0
21776440.0,6,,,,,
22243200.0,5,5.0,5.0,,,
25669104.0,23,9.0,3.0,,,
25681272.0,8,8.0,8.0,6.0,6.0,6.0
26398100.0,4,,,,,
26780292.0,56,55.0,47.0,32.0,14.0,14.0
28760308.0,260,260.0,87.0,67.0,48.0,48.0
30383288.0,50,47.0,30.0,29.0,24.0,24.0
31208760.0,10,,,,,
32617836.0,1,1.0,1.0,1.0,1.0,1.0
34696424.0,1,,,,,
36567948.0,5,3.0,3.0,,,
37796072.0,20,9.0,,,,
37997936.0,8,6.0,5.0,3.0,3.0,3.0
38046424.0,5,5.0,5.0,3.0,1.0,1.0
38379372.0,9,9.0,9.0,5.0,3.0,3.0
38951696.0,12,10.0,10.0,10.0,9.0,9.0
39560840.0,328,239.0,166.0,152.0,41.0,41.0
41163612.0,3,3.0,3.0,,,
43399988.0,28,,,,,
43708832.0,44,32.0,27.0,22.0,21.0,19.0
45410760.0,29,11.0,11.0,3.0,2.0,2.0
45497188.0,7,4.0,3.0,3.0,3.0,3.0
45821436.0,25,12.0,12.0,,,
46466156.0,25,22.0,10.0,4.0,4.0,3.0
46472868.0,13,13.0,13.0,13.0,13.0,13.0
46714360.0,19,19.0,,,,
46720652.0,1,,,,,
46961956.0,3,1.0,1.0,1.0,1.0,1.0
47583184.0,1,,,,,
47787032.0,8,6.0,6.0,5.0,,
48189612.0,1,1.0,1.0,,,
48354308.0,86,63.0,47.0,46.0,4.0,4.0
49423096.0,96,55.0,51.0,27.0,27.0,27.0
49851004.0,9,8.0,,,,
49927924.0,3,1.0,,,,
50358720.0,32,32.0,,,,
51805468.0,115,87.0,71.0,38.0,32.0,31.0
52319416.0,38,,,,,
52867296.0,1,,,,,
52873996.0,52,48.0,48.0,34.0,11.0,11.0
53278276.0,46,39.0,34.0,26.0,20.0,19.0
54048856.0,6,,,,,
54473760.0,35,34.0,34.0,25.0,25.0,25.0
57545228.0,5,4.0,1.0,1.0,1.0,1.0
58868416.0,136,132.0,132.0,132.0,132.0,132.0
59311044.0,4,4.0,1.0,,,
59554520.0,100,99.0,51.0,40.0,15.0,15.0
61282316.0,47,42.0,23.0,16.0,9.0,9.0
61352192.0,5,5.0,5.0,,,
61739432.0,22,21.0,21.0,21.0,,
62242184.0,16,13.0,13.0,13.0,5.0,
63495848.0,25,10.0,,,,
66453500.0,16,12.0,8.0,4.0,4.0,4.0
68240016.0,16,16.0,15.0,3.0,3.0,1.0
69294384.0,6,2.0,2.0,,,
69584032.0,7,7.0,7.0,7.0,1.0,1.0
69970528.0,5,5.0,5.0,1.0,1.0,1.0
72188256.0,6,2.0,1.0,,,
73131504.0,21,21.0,21.0,21.0,,
73520912.0,7,2.0,1.0,1.0,1.0,1.0
73642752.0,13,7.0,5.0,,,
73831504.0,2,,,,,
74937016.0,16,15.0,14.0,13.0,13.0,13.0
76019824.0,6,,,,,
76031544.0,28,3.0,3.0,3.0,1.0,1.0
77164288.0,2,,,,,
77281184.0,4,4.0,4.0,,,
78708512.0,25,20.0,10.0,9.0,8.0,8.0
78964008.0,4,,,,,
80279552.0,31,26.0,26.0,16.0,13.0,13.0
80457040.0,18,6.0,6.0,2.0,2.0,2.0
80838816.0,1,1.0,1.0,1.0,1.0,1.0
82485712.0,36,36.0,24.0,17.0,12.0,11.0
82677432.0,80,61.0,31.0,8.0,7.0,6.0
82762840.0,1,1.0,,,,
